Post ID,Platform,Date,Content Type,Post Text,Likes,Shares,Comments,Impressions,Reach,Clicks,Hashtags Used.1,Hashtags Used.2,Hashtags,Campaign_Name,Engagement_Rate,Total_Engagement,Start_Date,End_Date,Campaign_Phase,,Task 1,,,,,,,,,,,,,,,
P103,Facebook,11/06/2024,Image,Explore the latest image on Myntra! Trendy styles await.,3689,48,306,40579,39588,212,MyntraTrend,,MyntraTrend,FashionUpgrade,9.96%,4043,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P104,YouTube,23/03/2025,Story,Explore the latest story on Myntra! Trendy styles await.,3655,568,286,32895,32015,199,MyntraTrend,,MyntraTrend,StyleRevolution,13.71%,4509,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P105,Instagram,14/06/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,498,38,42,4482,3647,32,StyleWithMyntra,FashionDeals,"StyleWithMyntra,FashionDeals",StyleRevolution,12.90%,578,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P106,Instagram,04/02/2025,Image,Explore the latest image on Myntra! Trendy styles await.,4619,821,499,69285,69141,298,MyntraFashion,,MyntraFashion,FashionUpgrade,8.57%,5939,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P107,YouTube,21/06/2024,Image,Explore the latest image on Myntra! Trendy styles await.,4832,893,10,91808,91296,182,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",MyntraFestiveEdit,6.25%,5735,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P108,Twitter,25/03/2025,Video,Explore the latest video on Myntra! Trendy styles await.,4050,871,347,52650,51755,209,StyleWithMyntra,FashionDeals,"StyleWithMyntra,FashionDeals",FashionUpgrade,10.01%,5268,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P109,Twitter,08/08/2024,Story,Explore the latest story on Myntra! Trendy styles await.,3649,215,413,25543,24963,167,MyntraFashion,StyleWithMyntra,"MyntraFashion,StyleWithMyntra",FashionUpgrade,16.74%,4277,01/08/2024,31/08/2024,During,,,,,,,,,,,,,,,,,
P110,Instagram,29/07/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,3523,753,482,38753,38579,270,FashionDeals,StyleWithMyntra,"FashionDeals,StyleWithMyntra",EndOfSeasonSale,12.28%,4758,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P111,YouTube,23/11/2024,Image,Explore the latest image on Myntra! Trendy styles await.,2719,17,285,40785,40281,40,MyntraFashion,StyleWithMyntra,"MyntraFashion,StyleWithMyntra",MyntraFestiveEdit,7.41%,3021,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P112,Twitter,05/10/2024,Story,Explore the latest story on Myntra! Trendy styles await.,1957,877,238,17613,16865,297,MyntraFashion,MyntraSale,"MyntraFashion,MyntraSale",MyntraFestiveEdit,17.44%,3072,05/10/2024,05/11/2024,During,,,,,,,,,,,,,,,,,
P113,Twitter,02/10/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,4419,236,369,44190,43582,10,MyntraTrend,,MyntraTrend,StyleRevolution,11.37%,5024,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P114,Twitter,14/11/2024,Story,Explore the latest story on Myntra! Trendy styles await.,4000,689,488,40000,39569,44,FashionDeals,MyntraFashion,"FashionDeals,MyntraFashion",MyntraFestiveEdit,12.94%,5177,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P115,Twitter,11/05/2025,Image,Explore the latest image on Myntra! Trendy styles await.,2493,97,44,42381,41991,242,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",FashionUpgrade,6.22%,2634,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P116,YouTube,18/03/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,3704,186,458,25928,25081,131,StyleWithMyntra,,StyleWithMyntra,FashionUpgrade,16.77%,4348,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P117,Twitter,04/11/2024,Image,Explore the latest image on Myntra! Trendy styles await.,1606,451,405,20878,20190,219,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",EndOfSeasonSale,11.79%,2462,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P118,Facebook,04/11/2024,Image,Explore the latest image on Myntra! Trendy styles await.,4551,714,207,68265,67754,57,MyntraTrend,,MyntraTrend,EndOfSeasonSale,8.02%,5472,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P119,Instagram,07/02/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,1970,675,478,9850,8924,117,MyntraTrend,,MyntraTrend,StyleRevolution,31.71%,3123,10/01/2025,10/02/2025,During,,,,,,,,,,,,,,,,,
P120,Facebook,21/10/2024,Story,Explore the latest story on Myntra! Trendy styles await.,780,928,301,8580,8081,91,MyntraSale,MyntraFashion,"MyntraSale,MyntraFashion",StyleRevolution,23.41%,2009,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P121,Instagram,29/07/2024,Story,Explore the latest story on Myntra! Trendy styles await.,498,701,412,4980,4185,185,FashionDeals,StyleWithMyntra,"FashionDeals,StyleWithMyntra",StyleRevolution,32.35%,1611,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P122,Instagram,02/10/2024,Text,Explore the latest text on Myntra! Trendy styles await.,3432,869,123,54912,53916,264,MyntraFashion,MyntraTrend,"MyntraFashion,MyntraTrend",EndOfSeasonSale,8.06%,4424,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P123,Instagram,14/06/2024,Story,Explore the latest story on Myntra! Trendy styles await.,4363,649,140,21815,21481,157,MyntraSale,MyntraFashion,"MyntraSale,MyntraFashion",EndOfSeasonSale,23.62%,5152,10/06/2024,05/07/2024,During,,,,,,,,,,,,,,,,,
P124,YouTube,06/04/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,736,771,225,5152,4706,19,StyleWithMyntra,,StyleWithMyntra,MyntraFestiveEdit,33.62%,1732,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P125,Twitter,08/09/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3811,866,216,34299,34088,233,StyleWithMyntra,,StyleWithMyntra,MyntraFestiveEdit,14.27%,4893,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P126,Instagram,28/03/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,4158,167,241,45738,45183,142,MyntraFashion,,MyntraFashion,EndOfSeasonSale,9.98%,4566,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P127,Facebook,27/01/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,3452,652,442,65588,65049,158,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",FashionUpgrade,6.93%,4546,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P128,Twitter,10/01/2025,Image,Explore the latest image on Myntra! Trendy styles await.,3092,106,291,27828,27217,102,StyleWithMyntra,,StyleWithMyntra,StyleRevolution,12.54%,3489,10/01/2025,10/02/2025,During,,,,,,,,,,,,,,,,,
P129,Twitter,21/07/2024,Text,Explore the latest text on Myntra! Trendy styles await.,2147,430,393,17176,16483,170,FashionDeals,,FashionDeals,StyleRevolution,17.29%,2970,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P130,YouTube,29/09/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,2936,439,44,38168,37571,22,MyntraSale,,MyntraSale,MyntraFestiveEdit,8.96%,3419,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P131,Instagram,21/10/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,4840,658,211,43560,43225,57,MyntraSale,MyntraFashion,"MyntraSale,MyntraFashion",EndOfSeasonSale,13.11%,5709,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P132,Instagram,04/03/2025,Story,Explore the latest story on Myntra! Trendy styles await.,1947,842,101,21417,20967,186,MyntraFashion,,MyntraFashion,EndOfSeasonSale,13.49%,2890,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P133,Facebook,06/02/2025,Image,Explore the latest image on Myntra! Trendy styles await.,2072,532,71,37296,36467,25,MyntraSale,,MyntraSale,MyntraFestiveEdit,7.17%,2675,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P134,Twitter,24/04/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,3731,115,135,55965,55436,103,FashionDeals,,FashionDeals,StyleRevolution,7.11%,3981,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P135,Facebook,28/11/2024,Text,Explore the latest text on Myntra! Trendy styles await.,4213,253,434,75834,75437,272,MyntraTrend,,MyntraTrend,MyntraFestiveEdit,6.46%,4900,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P136,Instagram,11/07/2024,Text,Explore the latest text on Myntra! Trendy styles await.,3134,888,444,21938,21337,130,MyntraSale,MyntraFashion,"MyntraSale,MyntraFashion",StyleRevolution,20.36%,4466,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P137,Facebook,31/07/2024,Video,Explore the latest video on Myntra! Trendy styles await.,3008,94,37,15040,14639,277,FashionDeals,,FashionDeals,FashionUpgrade,20.87%,3139,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P138,Twitter,29/03/2025,Image,Explore the latest image on Myntra! Trendy styles await.,305,187,243,4575,3704,234,MyntraFashion,MyntraTrend,"MyntraFashion,MyntraTrend",StyleRevolution,16.07%,735,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P139,YouTube,29/10/2024,Text,Explore the latest text on Myntra! Trendy styles await.,2746,156,203,32952,32147,147,MyntraFashion,StyleWithMyntra,"MyntraFashion,StyleWithMyntra",EndOfSeasonSale,9.42%,3105,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P140,Facebook,15/07/2024,Image,Explore the latest image on Myntra! Trendy styles await.,2291,78,485,18328,18101,10,FashionDeals,,FashionDeals,FashionUpgrade,15.57%,2854,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P141,Twitter,31/08/2024,Image,Explore the latest image on Myntra! Trendy styles await.,3170,857,379,19020,18559,240,MyntraSale,,MyntraSale,MyntraFestiveEdit,23.17%,4406,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P142,YouTube,25/03/2025,Story,Explore the latest story on Myntra! Trendy styles await.,2070,275,386,39330,38627,114,MyntraSale,,MyntraSale,StyleRevolution,6.94%,2731,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P143,YouTube,02/10/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,80,362,80,1040,349,117,MyntraFashion,StyleWithMyntra,"MyntraFashion,StyleWithMyntra",EndOfSeasonSale,50.19%,522,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P144,YouTube,28/10/2024,Story,Explore the latest story on Myntra! Trendy styles await.,4929,749,452,93651,92810,66,MyntraTrend,StyleWithMyntra,"MyntraTrend,StyleWithMyntra",FashionUpgrade,6.55%,6130,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P145,Instagram,12/08/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,1878,62,179,37560,36874,142,FashionDeals,MyntraTrend,"FashionDeals,MyntraTrend",FashionUpgrade,5.64%,2119,01/08/2024,31/08/2024,During,,,,,,,,,,,,,,,,,
P146,YouTube,05/06/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,3065,772,142,18390,17875,200,StyleWithMyntra,,StyleWithMyntra,FashionUpgrade,21.64%,3979,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P147,Instagram,21/10/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,3256,459,266,26048,25529,143,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",MyntraFestiveEdit,15.28%,3981,05/10/2024,05/11/2024,During,,,,,,,,,,,,,,,,,
P148,Instagram,15/04/2025,Video,Explore the latest video on Myntra! Trendy styles await.,4133,466,327,24798,24620,176,StyleWithMyntra,,StyleWithMyntra,EndOfSeasonSale,19.86%,4926,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P149,Twitter,16/06/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1702,750,179,34040,33174,76,MyntraTrend,,MyntraTrend,MyntraFestiveEdit,7.73%,2631,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P150,YouTube,22/08/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,4295,853,325,85900,85788,290,MyntraTrend,MyntraSale,"MyntraTrend,MyntraSale",EndOfSeasonSale,6.37%,5473,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P151,Instagram,26/07/2024,Image,Explore the latest image on Myntra! Trendy styles await.,3559,59,289,35590,35105,122,MyntraTrend,StyleWithMyntra,"MyntraTrend,StyleWithMyntra",MyntraFestiveEdit,10.98%,3907,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P152,Facebook,22/04/2025,Image,Explore the latest image on Myntra! Trendy styles await.,4804,550,270,28824,28370,47,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",StyleRevolution,19.51%,5624,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P153,Twitter,01/01/2025,Video,Explore the latest video on Myntra! Trendy styles await.,754,197,257,6786,6221,212,FashionDeals,MyntraTrend,"FashionDeals,MyntraTrend",MyntraFestiveEdit,17.80%,1208,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P154,Instagram,09/10/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,985,932,287,6895,6757,64,MyntraSale,MyntraFashion,"MyntraSale,MyntraFashion",EndOfSeasonSale,31.97%,2204,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P155,YouTube,21/12/2024,Image,Explore the latest image on Myntra! Trendy styles await.,2283,210,130,22830,22617,143,MyntraFashion,StyleWithMyntra,"MyntraFashion,StyleWithMyntra",MyntraFestiveEdit,11.49%,2623,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P156,Facebook,22/10/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3352,941,482,43576,43338,240,MyntraTrend,,MyntraTrend,MyntraFestiveEdit,10.96%,4775,05/10/2024,05/11/2024,During,,,,,,,,,,,,,,,,,
P157,YouTube,23/07/2024,Story,Explore the latest story on Myntra! Trendy styles await.,4775,173,206,47750,47544,187,StyleWithMyntra,MyntraTrend,"StyleWithMyntra,MyntraTrend",StyleRevolution,10.79%,5154,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P158,Instagram,11/08/2024,Story,Explore the latest story on Myntra! Trendy styles await.,1762,405,423,22906,21925,25,FashionDeals,,FashionDeals,EndOfSeasonSale,11.31%,2590,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P159,Facebook,25/11/2024,Story,Explore the latest story on Myntra! Trendy styles await.,2120,158,488,12720,12085,17,StyleWithMyntra,MyntraTrend,"StyleWithMyntra,MyntraTrend",EndOfSeasonSale,21.75%,2766,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P160,Twitter,24/08/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1082,209,484,19476,18654,20,StyleWithMyntra,,StyleWithMyntra,StyleRevolution,9.11%,1775,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P161,Twitter,19/02/2025,Text,Explore the latest text on Myntra! Trendy styles await.,4671,876,366,51381,50565,245,MyntraSale,,MyntraSale,EndOfSeasonSale,11.51%,5913,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P162,Facebook,01/04/2025,Story,Explore the latest story on Myntra! Trendy styles await.,3430,566,164,48020,47305,120,MyntraTrend,,MyntraTrend,EndOfSeasonSale,8.66%,4160,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P163,Instagram,08/04/2025,Image,Explore the latest image on Myntra! Trendy styles await.,4501,375,323,22505,21836,132,MyntraFashion,,MyntraFashion,StyleRevolution,23.10%,5199,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P164,YouTube,27/02/2025,Text,Explore the latest text on Myntra! Trendy styles await.,4934,971,156,39472,39025,169,FashionDeals,StyleWithMyntra,"FashionDeals,StyleWithMyntra",EndOfSeasonSale,15.36%,6061,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P165,Twitter,11/12/2024,Text,Explore the latest text on Myntra! Trendy styles await.,3239,43,211,22673,22171,230,MyntraTrend,StyleWithMyntra,"MyntraTrend,StyleWithMyntra",EndOfSeasonSale,15.41%,3493,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P166,Twitter,16/02/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,1076,313,306,11836,11596,104,FashionDeals,,FashionDeals,EndOfSeasonSale,14.32%,1695,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P167,Instagram,28/11/2024,Text,Explore the latest text on Myntra! Trendy styles await.,4771,818,56,57252,56378,150,MyntraSale,,MyntraSale,EndOfSeasonSale,9.86%,5645,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P168,Facebook,12/11/2024,Text,Explore the latest text on Myntra! Trendy styles await.,2418,754,54,43524,42743,182,MyntraFashion,MyntraTrend,"MyntraFashion,MyntraTrend",StyleRevolution,7.41%,3226,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P169,YouTube,03/12/2024,Video,Explore the latest video on Myntra! Trendy styles await.,3809,273,200,34281,33534,83,MyntraTrend,,MyntraTrend,MyntraFestiveEdit,12.49%,4282,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P170,Twitter,28/04/2025,Text,Explore the latest text on Myntra! Trendy styles await.,3577,596,493,67963,67839,53,StyleWithMyntra,MyntraTrend,"StyleWithMyntra,MyntraTrend",StyleRevolution,6.87%,4666,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P171,YouTube,31/12/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1018,447,332,18324,18164,38,MyntraSale,MyntraFashion,"MyntraSale,MyntraFashion",StyleRevolution,9.81%,1797,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P172,Facebook,14/08/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3073,553,174,52241,51605,246,MyntraFashion,StyleWithMyntra,"MyntraFashion,StyleWithMyntra",StyleRevolution,7.27%,3800,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P173,Twitter,05/12/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1330,925,35,15960,15379,229,FashionDeals,MyntraTrend,"FashionDeals,MyntraTrend",StyleRevolution,14.35%,2290,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P174,Facebook,22/06/2024,Text,Explore the latest text on Myntra! Trendy styles await.,3828,148,253,30624,30229,235,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",StyleRevolution,13.81%,4229,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P175,Instagram,17/01/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,142,784,183,1704,995,154,MyntraSale,,MyntraSale,FashionUpgrade,65.08%,1109,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P176,Facebook,20/06/2024,Video,Explore the latest video on Myntra! Trendy styles await.,3798,31,279,75960,75813,266,MyntraFashion,,MyntraFashion,EndOfSeasonSale,5.41%,4108,10/06/2024,05/07/2024,During,,,,,,,,,,,,,,,,,
P177,Instagram,10/07/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3099,694,171,43386,42921,52,FashionDeals,,FashionDeals,StyleRevolution,9.14%,3964,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P178,Instagram,07/11/2024,Video,Explore the latest video on Myntra! Trendy styles await.,129,643,136,1290,839,238,StyleWithMyntra,FashionDeals,"StyleWithMyntra,FashionDeals",StyleRevolution,70.39%,908,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P179,Facebook,15/07/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3796,667,395,64532,63550,292,StyleWithMyntra,,StyleWithMyntra,FashionUpgrade,7.53%,4858,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P180,YouTube,03/12/2024,Text,Explore the latest text on Myntra! Trendy styles await.,3711,352,290,48243,47579,11,StyleWithMyntra,FashionDeals,"StyleWithMyntra,FashionDeals",StyleRevolution,9.02%,4353,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P181,YouTube,21/03/2025,Image,Explore the latest image on Myntra! Trendy styles await.,606,789,470,7878,7389,239,MyntraSale,,MyntraSale,EndOfSeasonSale,23.67%,1865,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P182,Facebook,31/07/2024,Image,Explore the latest image on Myntra! Trendy styles await.,4689,134,403,51579,50924,173,FashionDeals,,FashionDeals,FashionUpgrade,10.13%,5226,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P183,Instagram,17/12/2024,Story,Explore the latest story on Myntra! Trendy styles await.,360,590,393,4680,4322,208,StyleWithMyntra,FashionDeals,"StyleWithMyntra,FashionDeals",EndOfSeasonSale,28.70%,1343,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P184,Twitter,28/07/2024,Image,Explore the latest image on Myntra! Trendy styles await.,3215,960,202,32150,31404,251,StyleWithMyntra,,StyleWithMyntra,MyntraFestiveEdit,13.61%,4377,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P185,Instagram,11/01/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,4523,61,157,49753,49329,71,MyntraSale,MyntraTrend,"MyntraSale,MyntraTrend",StyleRevolution,9.53%,4741,10/01/2025,10/02/2025,During,,,,,,,,,,,,,,,,,
P186,Facebook,24/08/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,4292,51,392,55796,54826,264,MyntraTrend,StyleWithMyntra,"MyntraTrend,StyleWithMyntra",FashionUpgrade,8.49%,4735,01/08/2024,31/08/2024,During,,,,,,,,,,,,,,,,,
P187,Twitter,22/12/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,1644,546,150,27948,27184,300,MyntraSale,MyntraTrend,"MyntraSale,MyntraTrend",FashionUpgrade,8.37%,2340,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P188,YouTube,06/06/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,2728,533,215,40920,40816,137,MyntraSale,,MyntraSale,EndOfSeasonSale,8.49%,3476,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P189,Facebook,24/03/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,3360,525,500,60480,59610,192,MyntraSale,StyleWithMyntra,"MyntraSale,StyleWithMyntra",FashionUpgrade,7.25%,4385,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P190,YouTube,04/10/2024,Text,Explore the latest text on Myntra! Trendy styles await.,1963,213,19,39260,38771,145,StyleWithMyntra,,StyleWithMyntra,FashionUpgrade,5.59%,2195,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P191,YouTube,03/12/2024,Story,Explore the latest story on Myntra! Trendy styles await.,4285,886,376,55705,55556,51,MyntraFashion,FashionDeals,"MyntraFashion,FashionDeals",StyleRevolution,9.96%,5547,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P192,Instagram,29/11/2024,Video,Explore the latest video on Myntra! Trendy styles await.,1176,464,394,14112,13588,272,FashionDeals,,FashionDeals,FashionUpgrade,14.41%,2034,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P193,Twitter,11/09/2024,Image,Explore the latest image on Myntra! Trendy styles await.,4858,317,129,53438,52687,223,FashionDeals,MyntraTrend,"FashionDeals,MyntraTrend",FashionUpgrade,9.93%,5304,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P194,YouTube,02/10/2024,Story,Explore the latest story on Myntra! Trendy styles await.,4350,771,7,60900,60592,195,FashionDeals,StyleWithMyntra,"FashionDeals,StyleWithMyntra",EndOfSeasonSale,8.42%,5128,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P195,Instagram,15/08/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,914,464,246,11882,11500,282,MyntraFashion,MyntraTrend,"MyntraFashion,MyntraTrend",MyntraFestiveEdit,13.67%,1624,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P196,Instagram,19/12/2024,Text,Explore the latest text on Myntra! Trendy styles await.,1813,623,72,19943,18959,85,MyntraTrend,MyntraFashion,"MyntraTrend,MyntraFashion",MyntraFestiveEdit,12.58%,2508,05/10/2024,05/11/2024,Before,,,,,,,,,,,,,,,,,
P197,Twitter,22/10/2024,Reel,Explore the latest reel on Myntra! Trendy styles await.,4782,721,82,86076,85339,19,FashionDeals,,FashionDeals,EndOfSeasonSale,6.49%,5585,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P198,Twitter,14/09/2024,Image,Explore the latest image on Myntra! Trendy styles await.,1048,374,450,9432,8882,158,MyntraTrend,MyntraSale,"MyntraTrend,MyntraSale",EndOfSeasonSale,19.85%,1872,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P199,YouTube,30/11/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2509,324,171,35126,34685,277,FashionDeals,,FashionDeals,EndOfSeasonSale,8.55%,3004,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P200,Facebook,07/04/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,3718,385,310,70642,69749,233,MyntraTrend,,MyntraTrend,FashionUpgrade,6.25%,4413,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
P201,Twitter,15/01/2025,Reel,Explore the latest reel on Myntra! Trendy styles await.,802,262,244,14436,14280,49,MyntraSale,FashionDeals,"MyntraSale,FashionDeals",StyleRevolution,9.06%,1308,10/01/2025,10/02/2025,During,,,,,,,,,,,,,,,,,
P202,Facebook,02/06/2024,Image,Explore the latest image on Myntra! Trendy styles await.,1871,252,335,29936,29576,288,MyntraTrend,,MyntraTrend,EndOfSeasonSale,8.21%,2458,10/06/2024,05/07/2024,Before,,,,,,,,,,,,,,,,,
P203,Instagram,21/11/2024,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,3773,299,38,71687,71447,286,MyntraTrend,,MyntraTrend,StyleRevolution,5.73%,4110,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P204,Instagram,01/01/2025,Carousel,Explore the latest carousel on Myntra! Trendy styles await.,2234,653,432,11170,10569,198,FashionDeals,StyleWithMyntra,"FashionDeals,StyleWithMyntra",StyleRevolution,29.71%,3319,10/01/2025,10/02/2025,Before,,,,,,,,,,,,,,,,,
P205,Twitter,24/04/2025,Video,Explore the latest video on Myntra! Trendy styles await.,3820,697,268,45840,45631,171,StyleWithMyntra,FashionDeals,"StyleWithMyntra,FashionDeals",FashionUpgrade,10.44%,4785,01/08/2024,31/08/2024,Before,,,,,,,,,,,,,,,,,
